20000,1,1,0,1,1,2
35000,2,1,1,0,0,2
10000,0,0,1,1,2,1
45000,1,1,0,1,1,2
3000,0,0,0,0,2,0
4000,0,0,0,0,1,0
5000,0,0,0,0,2,0
6000,0,0,0,0,1,0
7000,0,0,0,0,2,0
8000,0,0,0,0,1,0
10000,0,0,0,0,2,0
12000,0,0,0,0,1,0
15000,0,0,0,0,2,0
18000,0,0,0,0,1,0
20000,0,0,0,0,2,0
22000,0,0,0,0,1,0
8000,0,1,0,1,0,1
15000,1,0,1,0,2,1
25000,2,0,1,1,1,2
30000,1,1,1,0,0,2
12000,0,1,1,1,2,2
28000,1,0,0,1,1,1
9000,0,0,0,1,0,1
22000,2,1,1,0,2,2
18000,1,1,0,0,0,2
20000,1,0,1,1,1,2
5000,0,0,1,0,0,1
42000,2,1,0,1,1,2
13000,1,1,0,1,2,2
23000,1,1,1,1,0,2
27000,2,0,0,1,2,2
16000,0,1,0,0,1,1
18500,1,0,1,0,1,1
27000,1,1,1,1,0,1
8000,0,0,1,0,0,1
36000,1,1,0,1,2,1
15000,1,0,0,1,1,1
21000,1,1,0,0,1,1
5000,0,1,1,0,0,1
24000,1,1,0,1,2,1
31000,1,0,1,1,1,1
17500,1,1,1,0,0,1
29000,1,1,1,0,2,1
11000,0,1,1,1,2,1
19500,1,0,1,1,1,1
38000,1,0,0,1,2,1
17000,1,1,0,0,0,1
26000,1,1,0,1,1,1
4200,0,0,1,0,0,1
20000,1,1,1,1,0,1
33000,1,0,1,1,2,1
14500,1,0,0,1,1,1
25000,1,1,1,1,2,1
18000,1,1,0,1,1,1
16000,1,1,1,0,0,1
40000,1,1,1,1,1,1
22000,1,0,1,1,0,1
35000,1,1,0,0,2,1
28000,1,1,1,0,1,1
10000,1,0,0,1,2,1
30000,1,0,1,0,1,1
23000,1,1,0,1,0,1
27000,1,0,0,1,1,1
19000,1,1,1,0,2,1
80000,1,1,1,1,2,1
90000,2,1,1,1,1,1
120000,2,1,1,1,2,1
110000,2,0,1,1,1,2
150000,2,1,0,1,2,2
125000,2,1,1,0,1,2
135000,2,1,1,1,0,2
145000,2,1,0,0,2,2
175000,2,1,1,1,1,2
180000,2,1,1,1,2,2
5000,0,0,1,0,1,1
8000,1,0,1,1,2,1
12000,1,1,1,0,0,2
15000,1,0,0,1,1,1
20000,1,1,1,1,0,2
25000,1,1,0,1,2,2
30000,1,1,1,0,1,2
35000,1,0,1,1,2,2
40000,1,1,1,1,1,2
45000,1,1,1,1,2,2
50000,1,1,1,1,1,2
55000,1,1,1,1,2,2
60000,1,1,1,1,1,2
65000,1,1,1,1,2,2
70000,1,1,1,1,1,2
75000,1,1,1,1,2,2
80000,1,1,1,1,1,2
85000,1,1,1,1,2,2
90000,1,1,1,1,1,2
95000,1,1,1,1,2,2
100000,2,1,1,1,1,
5000,0,0,1,0,2,2
8000,1,0,1,1,1,2
12000,1,1,1,0,0,2
15000,1,0,0,1,1,1
20000,1,1,1,1,0,1
25000,1,1,0,1,2,1
30000,1,1,1,0,1,1
35000,1,0,1,1,2,1
40000,1,1,1,1,1,1
45000,1,1,1,1,2,1
50000,1,1,1,1,1,1
55000,1,1,1,1,2,1
60000,1,1,1,1,1,1
65000,1,1,1,1,2,1
70000,1,1,1,1,1,1
75000,1,1,1,1,2,1
80000,1,1,1,1,1,1
85000,1,1,1,1,2,1
90000,1,1,1,1,1,1
95000,1,1,1,1,2,1
100000,2,1,1,1,1,1
5000,0,0,1,0,1,2
8000,1,0,1,1,2,1
12000,1,1,1,0,0,1
